month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
1,19805,AA,AA,American Airlines Inc.,3,181805365,35379724,19744574,48979198,104103496,285908861,182280559,104264171,286544730,330993694,65177657,36092606,94494528,195764791,526758485,331867432,196062834,527930266,2019
1,20409,B6,B6,JetBlue Airways,3,55214112,0,0,15194099,15194099,70408211,55214112,15194099,70408211,107587447,0,0,29606459,29606459,137193906,107587447,29606459,137193906,2019
1,19790,DL,DL,Delta Air Lines Inc.,3,165835898,48129821,28376721,29135082,105641624,271477522,167883633,105823230,273706863,340011832,98680134,58180533,59735394,216596061,556607893,345424031,216968407,562392438,2019
1,20368,G4,G4,Allegiant Air,3,12442727,0,0,0,0,12442727,12704100,79969,12784069,24884405,0,0,0,0,24884405,25451228,174212,25625440,2019
1,19690,HA,HA,Hawaiian Airlines Inc.,3,15257659,0,7346463,0,7346463,22604122,15280124,7346463,22626587,27092396,0,12857142,0,12857142,39949538,27129872,12857142,39987014,2019
1,19977,UA,UA,United Air Lines Inc.,3,127590604,53538012,55192482,32518620,141249114,268839718,128594032,141518914,270112946,234726719,98041019,102255125,63335233,263631377,498358096,236590640,264119815,500710455,2019
1,19393,WN,WN,Southwest Airlines Co.,3,162877133,0,0,1789759,1789759,164666892,163091949,1789759,164881708,311257985,0,0,4071037,4071037,315329022,311660539,4071037,315731576,2019
2,19805,AA,AA,American Airlines Inc.,3,171404503,30958800,17322712,44034884,92316396,263720899,171809048,92477489,264286537,327026752,59435663,32573780,86843048,178852491,505879243,327810856,179178991,506989847,2019
2,19790,DL,DL,Delta Air Lines Inc.,3,152322966,42273867,24710323,26290073,93274263,245597229,154407088,93667362,248074450,313961048,87132937,50931775,54187883,192252595,506213643,319361813,193062831,512424644,2019
2,20436,F9,F9,Frontier Airlines Inc.,3,17536368,0,0,2546226,2546226,20082594,17536368,2546226,20082594,34472192,0,0,4986355,4986355,39458547,34472192,4986355,39458547,2019
2,19690,HA,HA,Hawaiian Airlines Inc.,3,13532765,0,6418283,0,6418283,19951048,13532765,6418283,19951048,25862219,0,11806211,0,11806211,37668430,25862219,11806211,37668430,2019
2,20416,NK,NK,Spirit Air Lines,3,29560076,0,0,4030920,4030920,33590996,29560076,4030920,33590996,62838607,0,0,8568901,8568901,71407508,62838607,8568901,71407508,2019
